Date,Open,High,Low,Close,Volume
16-Jun-16,5.97,6.11,5.90,6.03,637550
15-Jun-16,5.88,6.25,5.83,6.01,608499
14-Jun-16,5.93,6.19,5.86,5.91,1169243
13-Jun-16,6.26,6.41,5.92,6.06,1096265
10-Jun-16,6.40,6.51,6.24,6.30,831084
9-Jun-16,6.49,6.59,6.39,6.43,405931
8-Jun-16,6.47,6.59,6.44,6.52,744136
7-Jun-16,6.38,6.46,6.25,6.43,817178
6-Jun-16,6.10,6.54,6.10,6.44,775675
3-Jun-16,6.30,6.31,6.02,6.07,568449
2-Jun-16,6.23,6.31,6.15,6.31,389392
1-Jun-16,6.29,6.29,6.15,6.24,580433
31-May-16,6.37,6.60,6.22,6.34,1147696
27-May-16,6.41,6.68,6.30,6.41,1339496
26-May-16,6.30,6.44,6.26,6.36,386202
25-May-16,6.34,6.37,6.23,6.29,863945
24-May-16,6.39,6.49,6.22,6.34,668143
23-May-16,6.06,6.45,6.00,6.35,930912
20-May-16,6.07,6.15,5.98,6.11,795021
19-May-16,6.00,6.15,5.92,6.08,950906
18-May-16,5.98,6.18,5.83,6.04,1458660
17-May-16,6.10,6.34,5.80,6.02,3680354
16-May-16,6.34,6.46,5.89,6.35,3101667
13-May-16,7.17,7.17,6.40,6.61,3046224
12-May-16,6.39,6.53,6.09,6.15,632971
11-May-16,6.36,6.65,6.35,6.37,681042
10-May-16,7.07,7.20,6.30,6.37,1710783
9-May-16,7.52,7.55,7.16,7.39,608611
6-May-16,7.25,7.54,7.19,7.50,497539
5-May-16,7.52,7.77,7.21,7.27,1170115
4-May-16,7.64,7.91,7.44,7.47,1050226
3-May-16,7.93,8.08,7.53,7.59,580579
2-May-16,7.83,8.08,7.49,7.97,1208142
29-Apr-16,8.02,8.02,7.69,7.88,473314
28-Apr-16,8.25,8.45,7.96,8.02,704926
27-Apr-16,7.72,8.41,7.60,8.39,825646
26-Apr-16,7.56,7.76,7.40,7.70,320360
25-Apr-16,7.90,8.02,7.55,7.60,444892
22-Apr-16,7.82,8.04,7.71,7.91,1106271
21-Apr-16,7.30,7.90,7.26,7.76,984700
20-Apr-16,6.99,7.38,6.96,7.27,668602
19-Apr-16,7.15,7.23,6.99,7.02,1297160
18-Apr-16,6.99,7.18,6.87,7.09,946073
15-Apr-16,7.10,7.27,6.97,7.04,411609
14-Apr-16,6.83,7.37,6.83,7.15,644420
